time,longitude,latitude,snr_[MJ/m2],tp_[mm],ro_[m],sm_[m3/m3],le_[W/m2],t2m_[K]
2008-08-12,8.125,48.125,3.4107409,25.646042,0.000115601746,0.34288293,55.24311352659154,289.56042
2008-08-13,8.125,48.125,12.936778,0.01908798,1.2730856e-05,0.35701042,55.873011135392716,289.48312
2008-08-14,8.125,48.125,9.463707,3.1310232,1.5435326e-05,0.34904754,56.50290874419389,289.6395
2008-08-15,8.125,48.125,4.7160845,13.152214,6.025591e-05,0.3576285,57.132806352995054,286.2164
2008-08-16,8.125,48.125,9.988018,0.08530269,1.2467281e-05,0.3603881,57.76270396179623,287.70416
2008-08-17,8.125,48.125,11.353742,0.161395,1.2550538e-05,0.3488715,58.3926015705974,288.3486
2008-08-18,8.125,48.125,12.698403,0.0,1.2410287e-05,0.3405826,59.022499179398565,292.5131
2008-08-19,8.125,48.125,9.7376995,5.106561,1.8442688e-05,0.33888873,59.65239678819974,291.40393
2008-08-20,8.125,48.125,8.532297,0.52525306,1.2862244e-05,0.33819032,60.28229439700091,288.45804
2008-08-21,8.125,48.125,9.62886,0.0,1.2321813e-05,0.32908797,59.58055042558246,288.81415
2008-08-22,8.125,48.125,6.8716903,3.1437218,1.4296448e-05,0.3274085,58.87880645416401,288.18427
2008-08-23,8.125,48.125,8.224816,8.158724,3.0086578e-05,0.34012914,58.177062482745555,286.57037
2008-08-24,8.125,48.125,10.384642,0.5332576,1.2175848e-05,0.34178647,57.4753185113271,287.42258
2008-08-25,8.125,48.125,8.102511,1.5016314,1.4259754e-05,0.33492425,56.77357453990866,290.07547
2008-08-26,8.125,48.125,9.300853,0.23226063,1.22195615e-05,0.33134967,56.071830568490206,290.3681
2008-08-27,8.125,48.125,10.626943,0.03078326,1.1908629e-05,0.32366192,55.370086597071754,290.6114
2008-08-28,8.125,48.125,9.991862,0.0011659237,1.1932046e-05,0.31682667,54.6683426256533,289.66162
2008-08-29,8.125,48.125,10.175573,0.0,1.1881567e-05,0.31055927,52.921052125317075,289.29782
2008-08-30,8.125,48.125,11.387082,0.0,1.1881567e-05,0.3044411,51.173761624980855,291.69742
2008-08-31,8.125,48.125,9.6355,0.5396356,1.2470902e-05,0.29883954,49.426471124644635,293.08002
2008-09-01,8.125,48.125,9.222817,1.8232666,1.4666092e-05,0.29849488,47.67918062430841,290.60184
2008-09-02,8.125,48.125,10.437372,0.0,1.1366218e-05,0.29812223,45.93189012397218,290.97113
2008-09-03,8.125,48.125,9.548456,13.029661,2.763145e-05,0.3055658,44.18459962363596,290.65073
2008-09-04,8.125,48.125,4.5596495,5.4393854,2.6837637e-05,0.32468212,42.43730912329974,287.76633
2008-09-05,8.125,48.125,9.810586,1.1548117,1.4392227e-05,0.3287201,40.690018622963514,291.83975
2008-09-06,8.125,48.125,4.1045685,15.459796,6.116084e-05,0.33699912,40.55998874483285,289.0269
2008-09-07,8.125,48.125,7.0859675,0.6698848,1.318448e-05,0.34718016,40.42995886670218,287.56134
2008-09-08,8.125,48.125,7.559178,0.28485653,1.1943154e-05,0.33809888,40.299928988571516,287.8592
